id,tid,type,dist,name_short,name,Latitude,Longitude
380079900Y,Y,國小,大溪區,美華國民小學,桃園市大溪區美華國民小學,24.8816036,121.3049125
380080000Y,Y,國小,大溪區,內柵國民小學,桃園市大溪區內柵國民小學,24.8560856,121.2819906
380080100Y,Y,國小,大溪區,福安國民小學,桃園市大溪區福安國民小學,24.8502115,121.288097
380080200Y,Y,國小,大溪區,百吉國民小學,桃園市大溪區百吉國民小學,24.8237184,121.3110542
380080300Y,Y,國小,大溪區,中興國民小學,桃園市大溪區中興國民小學,24.9252809,121.3101929
380080400Y,Y,國小,大溪區,員樹林國民小學,桃園市大溪區員樹林國民小學,24.8828258,121.26609
380080500Y,Y,國小,大溪區,仁善國民小學,桃園市大溪區仁善國民小學,24.9089157,121.2789883
380080600Y,Y,國小,大溪區,僑愛國民小學,桃園市大溪區僑愛國民小學,24.9204205,121.2928708
380080700Y,Y,國小,大溪區,南興國民小學,桃園市大溪區南興國民小學,24.9031284,121.266731
380080800Y,Y,國小,大溪區,永福國民小學,桃園市大溪區永福國民小學,24.893131,121.3247175
380080900Y,Y,國小,大溪區,瑞祥國民小學,桃園市大溪區瑞祥國民小學,24.8679537,121.2525888
380081000Y,Y,國小,大溪區,田心國民小學,桃園市大溪區田心國民小學,24.8806675,121.2923341
380081100Y,Y,國小,大溪區,仁和國民小學,桃園市大溪區仁和國民小學,24.8986305,121.2769106
380081200Y,Y,國小,大園區,大園國民小學,桃園市大園區大園國民小學,25.0591379,121.2026543
380081300Y,Y,國小,大園區,圳頭國民小學,桃園市大園區圳頭國民小學,25.07304,121.205505
380081400Y,Y,國小,大園區,內海國民小學,桃園市大園區內海國民小學,25.0865872,121.1904699
380081500Y,Y,國小,大園區,溪海國民小學,桃園市大園區溪海國民小學,25.0470485,121.1865459
380081600Y,Y,國小,大園區,潮音國民小學,桃園市大園區潮音國民小學,25.0652237,121.1725909
380081700Y,Y,國小,大園區,菓林國民小學,桃園市大園區菓林國民小學,25.0775992,121.2560646
